miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000065431,0.77498122,11.62523603,1.696578077,0.107086096,0.395256025,-5.04131115
ENSMUSG00000065608,0.986856689,14.0191203,1.727858111,0.101215438,0.395256025,-5.101067193
ENSMUSG00000065563,1.107589874,10.85724631,1.707911028,0.104926113,0.395256025,-4.985234128
ENSMUSG00000065580,1.182695804,8.179214865,1.68161181,0.109997039,0.395256025,-4.882098682
ENSMUSG00000098840,1.249686816,-0.727048027,1.68747578,0.108848505,0.395256025,-4.653471885
ENSMUSG00000098282,1.359749909,-0.445732596,1.711837175,0.104186616,0.395256025,-4.614292941
ENSMUSG00000065570,1.577923417,0.327958056,1.685749765,0.109185494,0.395256025,-4.642938321
ENSMUSG00000106465,1.666299392,3.931105314,1.704262111,0.105617441,0.395256025,-4.634647018
ENSMUSG00000106463,2.188861248,2.596570725,1.702909331,0.105874735,0.395256025,-4.611264186
ENSMUSG00000065553,1.085530736,10.84980936,1.673594026,0.111584227,0.395683541,-5.036019673
ENSMUSG00000093156,2.050220865,2.087253927,1.67487099,0.111330135,0.395683541,-4.663162051
ENSMUSG00000099319,-2.735533351,1.448553933,-1.667791917,0.112744996,0.397186619,-4.642688274
ENSMUSG00000093327,-2.222157502,4.589514287,-1.641736941,0.118085595,0.400845145,-4.762186088
ENSMUSG00000099259,-2.205391713,3.33721186,-1.656038148,0.115128122,0.400845145,-4.694438893
ENSMUSG00000098547,-1.587427282,0.668295751,-1.640971959,0.118245599,0.400845145,-4.677584873
ENSMUSG00000065424,1.298008572,0.588771653,1.649727731,0.11642523,0.400845145,-4.690534618
ENSMUSG00000065607,1.400002185,5.034704153,1.646145239,0.117167142,0.400845145,-4.767433887
ENSMUSG00000093599,1.766298245,1.22223354,1.641443813,0.118146884,0.400845145,-4.707178195
ENSMUSG00000099147,-2.516518064,1.024103022,-1.613071326,0.124208555,0.41646783,-4.714962031
ENSMUSG00000065557,0.930654435,14.04117688,1.612196903,0.124399482,0.41646783,-5.274521675
ENSMUSG00000065395,-1.270623963,5.555290001,-1.586611013,0.130096942,0.428736547,-4.881368433
ENSMUSG00000076060,1.428257942,0.936534227,1.589770946,0.129381593,0.428736547,-4.775532915
ENSMUSG00000089424,1.795567574,2.203743306,1.585054843,0.130450452,0.428736547,-4.773536241
ENSMUSG00000098597,-1.676499217,2.157704001,-1.546608452,0.139443989,0.455262558,-4.801845318
ENSMUSG00000105524,1.198038096,4.758366618,1.543427667,0.140210732,0.455262558,-4.896120963
ENSMUSG00000098297,-2.138883445,-0.574251366,-1.535424875,0.142155417,0.458812994,-4.852245371
ENSMUSG00000065404,1.487152092,0.499318973,1.530778127,0.14329486,0.459737677,-4.853686793
ENSMUSG00000065411,-1.411596096,4.012023176,-1.51776392,0.146526628,0.464575604,-4.906041167
ENSMUSG00000065530,1.050687951,11.2281305,1.52054601,0.145830722,0.464575604,-5.27356921
ENSMUSG00000098680,-1.894644102,0.505754861,-1.506442368,0.149387065,0.470875017,-4.859364312
ENSMUSG00000065594,0.809865566,8.908213435,1.498271814,0.151479991,0.471952111,-5.182300927
ENSMUSG00000065484,2.100120614,3.055235246,1.501027353,0.150771453,0.471952111,-4.893760178
ENSMUSG00000088559,1.089974156,7.672284737,1.494167528,0.152540435,0.472524682,-5.117397063
ENSMUSG00000065600,1.287243788,4.643430289,1.482902799,0.155482488,0.47616512,-4.969923657
ENSMUSG00000106183,1.673887893,1.902743641,1.48595417,0.154680969,0.47616512,-4.9010495
ENSMUSG00000099101,-2.176749347,0.599078537,-1.461144977,0.161297333,0.477688256,-4.914639974
ENSMUSG00000106600,-2.086294579,-0.353160586,-1.463578283,0.160638292,0.477688256,-4.936769852
ENSMUSG00000098802,-1.894467393,-0.330105653,-1.461340048,0.161244418,0.477688256,-4.941843846
ENSMUSG00000076376,0.839991777,9.216217927,1.463533627,0.160650367,0.477688256,-5.245117017
ENSMUSG00000093169,1.237890647,0.252929335,1.475743318,0.157376539,0.477688256,-4.926478412
ENSMUSG00000070102,1.938932272,2.655229083,1.462179875,0.161016769,0.477688256,-4.934392757
ENSMUSG00000099165,-1.973271346,-0.016225966,-1.449311308,0.164534037,0.480320385,-4.945532283
ENSMUSG00000088985,-1.850254919,1.303069407,-1.436672247,0.168049449,0.480320385,-4.93868381
ENSMUSG00000077042,0.733273261,7.826728573,1.436694038,0.168043335,0.480320385,-5.202621345
ENSMUSG00000080645,0.847328015,10.16055506,1.435338247,0.168424031,0.480320385,-5.33294318
ENSMUSG00000065537,0.901823816,6.635303525,1.447444468,0.165049465,0.480320385,-5.119839603
ENSMUSG00000076946,1.284937515,7.266165803,1.439593151,0.167231639,0.480320385,-5.1656368
ENSMUSG00000077996,1.406121737,1.774935579,1.43816822,0.167630192,0.480320385,-4.957844917
ENSMUSG00000065421,0.739657008,11.59016897,1.415278422,0.174139136,0.494005232,-5.434144784
ENSMUSG00000099212,-1.343591556,0.839922637,-1.407181992,0.176489933,0.498052742,-4.979479372
