miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B,mature
MI0022842,-1.504161788,2.107757871,-1.324105048,0.202118194,0.526288437,-5.078679628,MIMAT0027890|MIMAT0027891
MI0022758,-1.195038658,2.189020532,-1.326487216,0.201344263,0.526288437,-5.075974232,MIMAT0027722|MIMAT0027723
MI0003493,-1.094780253,11.81413109,-1.327283957,0.201085937,0.526288437,-5.559620986,MIMAT0003130|MIMAT0017206
MI0000607,-0.972886947,8.56106971,-1.333886752,0.198955219,0.526288437,-5.378560757,MIMAT0004642|MIMAT0000569
MI0001161,1.577139872,3.466300405,1.328598759,0.200660216,0.526288437,-5.111559068,MIMAT0017172|MIMAT0001091
MI0014103,-1.079175557,11.83917521,-1.314569807,0.205239629,0.529302202,-5.576630593,MIMAT0014943|MIMAT0014944
MI0000590,1.015819391,5.483556179,1.315535974,0.204921625,0.529302202,-5.222407976,MIMAT0000548|MIMAT0000549
MI0000248,-1.80409403,0.111919576,-1.30539964,0.208277307,0.530090401,-5.118076196,MIMAT0000238|MIMAT0017003
MI0003523,-1.276438874,1.29266948,-1.304744518,0.208495668,0.530090401,-5.094985724,MIMAT0017210|MIMAT0003173
MI0000236,1.112279065,3.822710438,1.306455688,0.207925692,0.530090401,-5.14965479,MIMAT0000224|MIMAT0016999
MI0000227,-1.107105996,5.797507167,-1.295548218,0.211579948,0.535029279,-5.266398244,MIMAT0000214|MIMAT0016996
MI0000761,0.649352414,8.180528758,1.29305137,0.212423498,0.535029279,-5.40259582,MIMAT0000704|MIMAT0017075
MI0001160,1.900382833,4.109689262,1.279870028,0.216920514,0.543814683,-5.191315916,MIMAT0004746|MIMAT0001090
MI0022799,-1.525775594,0.450415007,-1.262504915,0.222957924,0.546772446,-5.161289062,MIMAT0027804|MIMAT0027805
MI0025010,-1.464539186,-0.274453208,-1.261894714,0.223172427,0.546772446,-5.18438101,MIMAT0029846|MIMAT0029847
MI0022781,-1.41502021,1.598729957,-1.265147344,0.222030883,0.546772446,-5.140589551,MIMAT0027768|MIMAT0027769
MI0022807,1.145596956,0.742825415,1.264351176,0.222309886,0.546772446,-5.178646684,MIMAT0027820|MIMAT0027821
MI0006296,1.254873224,1.33930851,1.27314136,0.219244591,0.546772446,-5.156764601,MIMAT0005849
MI0018035,-2.259990313,2.107097868,-1.255531451,0.225418851,0.547300723,-5.165662069,MIMAT0020634
MI0000548,0.869007395,9.270894749,1.256314767,0.225141374,0.547300723,-5.506771161,MIMAT0000514|MIMAT0005438
MI0026022,1.39316324,0.091709553,1.245684393,0.228929644,0.55333219,-5.205462737,MIMAT0031396
MI0026034,-1.513886907,-0.416180386,-1.237312281,0.231947672,0.558124086,-5.2151752,MIMAT0031408
MI0008316,-1.628747639,2.341511515,-1.22086347,0.237966372,0.565701451,-5.201071125,MIMAT0007867
MI0022913,-1.087832637,-0.393783808,-1.220108888,0.238245324,0.565701451,-5.239405153,MIMAT0028032|MIMAT0028033
MI0005514,1.357115882,1.30632533,1.220570496,0.238074648,0.565701451,-5.219304816,MIMAT0017276|MIMAT0004888
